Image Name,Label,Probability,"Top-Left (x, y)","Bottom-Right (x, y)"
00000b4dcff7f799.jpg,person,1.0,"(np.float32(455.60342), np.float32(271.16196))","(np.float32(547.138), np.float32(578.68994))"
00000b4dcff7f799.jpg,person,1.0,"(np.float32(742.5176), np.float32(256.12616))","(np.float32(882.5402), np.float32(611.74384))"
00000b4dcff7f799.jpg,person,1.0,"(np.float32(585.2074), np.float32(299.7069))","(np.float32(695.53467), np.float32(410.027))"
00000b4dcff7f799.jpg,person,0.99,"(np.float32(892.20264), np.float32(228.83257))","(np.float32(968.42053), np.float32(544.94293))"
00000b4dcff7f799.jpg,truck,0.99,"(np.float32(12.679055), np.float32(84.27329))","(np.float32(785.6905), np.float32(592.63715))"
00000b4dcff7f799.jpg,person,0.87,"(np.float32(820.686), np.float32(252.56998))","(np.float32(880.147), np.float32(359.00613))"
00000b4dcff7f799.jpg,handbag,0.83,"(np.float32(622.03455), np.float32(447.30597))","(np.float32(695.6407), np.float32(552.9989))"
00000b4dcff7f799.jpg,truck,0.8,"(np.float32(913.61426), np.float32(156.49475))","(np.float32(1016.97644), np.float32(400.00677))"
00000b4dcff7f799.jpg,handbag,0.8,"(np.float32(813.9167), np.float32(324.59656))","(np.float32(881.3956), np.float32(451.5399))"
00000b4dcff7f799.jpg,umbrella,0.7,"(np.float32(455.11124), np.float32(118.625084))","(np.float32(931.3679), np.float32(398.1204))"
00000b4dcff7f799.jpg,truck,0.66,"(np.float32(997.2338), np.float32(224.98672))","(np.float32(1023.22925), np.float32(381.97653))"
00000b4dcff7f799.jpg,car,0.57,"(np.float32(996.8342), np.float32(220.08928))","(np.float32(1023.68225), np.float32(381.03433))"
00000b4dcff7f799.jpg,umbrella,0.47,"(np.float32(508.09732), np.float32(124.4637))","(np.float32(893.49335), np.float32(276.6225))"
00000b4dcff7f799.jpg,truck,0.44,"(np.float32(78.82292), np.float32(115.64557))","(np.float32(477.5136), np.float32(452.48352))"
00000b4dcff7f799.jpg,truck,0.36,"(np.float32(784.1733), np.float32(142.68988))","(np.float32(1019.30023), np.float32(398.52628))"
00000b4dcff7f799.jpg,car,0.35,"(np.float32(888.6524), np.float32(278.13516))","(np.float32(995.7066), np.float32(402.2268))"
00000b4dcff7f799.jpg,backpack,0.34,"(np.float32(620.67786), np.float32(454.2062))","(np.float32(698.91565), np.float32(555.34534))"
00000b4dcff7f799.jpg,cell phone,0.34,"(np.float32(510.2999), np.float32(300.2276))","(np.float32(522.7835), np.float32(314.1901))"
00000b4dcff7f799.jpg,truck,0.32,"(np.float32(577.6966), np.float32(117.93236))","(np.float32(1002.21747), np.float32(398.573))"
00000b4dcff7f799.jpg,handbag,0.29,"(np.float32(600.86456), np.float32(330.11768))","(np.float32(668.3582), np.float32(400.22885))"
00000b4dcff7f799.jpg,backpack,0.25,"(np.float32(482.8931), np.float32(312.42844))","(np.float32(535.57886), np.float32(364.1157))"
00000b4dcff7f799.jpg,umbrella,0.21,"(np.float32(585.38513), np.float32(164.37311))","(np.float32(898.1116), np.float32(258.1432))"
00000b4dcff7f799.jpg,umbrella,0.2,"(np.float32(719.93604), np.float32(163.62311))","(np.float32(908.43964), np.float32(246.35602))"
00000b4dcff7f799.jpg,person,0.2,"(np.float32(303.78192), np.float32(194.53781))","(np.float32(353.13226), np.float32(254.6078))"
00000b4dcff7f799.jpg,car,0.2,"(np.float32(923.82263), np.float32(207.95564))","(np.float32(1012.59705), np.float32(396.86734))"
00000b4dcff7f799.jpg,backpack,0.19,"(np.float32(807.58636), np.float32(299.7954))","(np.float32(883.8237), np.float32(451.12036))"
00000b4dcff7f799.jpg,cup,0.18,"(np.float32(735.19336), np.float32(361.36624))","(np.float32(752.85706), np.float32(395.51556))"
00000b4dcff7f799.jpg,car,0.17,"(np.float32(949.2441), np.float32(242.04773))","(np.float32(999.97925), np.float32(407.69437))"
00000b4dcff7f799.jpg,handbag,0.15,"(np.float32(638.5654), np.float32(257.85895))","(np.float32(682.31824), np.float32(329.17932))"
00000b4dcff7f799.jpg,handbag,0.15,"(np.float32(837.59827), np.float32(384.84894))","(np.float32(879.1915), np.float32(450.42618))"
00000b4dcff7f799.jpg,car,0.15,"(np.float32(117.96618), np.float32(78.81202))","(np.float32(418.9169), np.float32(179.71478))"
00000b4dcff7f799.jpg,truck,0.15,"(np.float32(209.97354), np.float32(106.56905))","(np.float32(968.6851), np.float32(442.15234))"
00000b4dcff7f799.jpg,tie,0.13,"(np.float32(787.85406), np.float32(299.8886))","(np.float32(799.0082), np.float32(331.74344))"
00000b4dcff7f799.jpg,bus,0.12,"(np.float32(899.5829), np.float32(170.36179))","(np.float32(1015.1008), np.float32(387.76126))"
00000b4dcff7f799.jpg,truck,0.12,"(np.float32(950.8809), np.float32(207.23491))","(np.float32(1013.966), np.float32(402.75522))"
00000b4dcff7f799.jpg,person,0.12,"(np.float32(584.10425), np.float32(294.35022))","(np.float32(704.4233), np.float32(561.8128))"
00000b4dcff7f799.jpg,traffic light,0.11,"(np.float32(86.45819), np.float32(196.37833))","(np.float32(115.29642), np.float32(224.4715))"
00000b4dcff7f799.jpg,cell phone,0.11,"(np.float32(508.66364), np.float32(295.83893))","(np.float32(527.7897), np.float32(316.44675))"
00000b4dcff7f799.jpg,car,0.1,"(np.float32(998.37897), np.float32(311.6457))","(np.float32(1023.6938), np.float32(372.84656))"
000a017e2b7063a7.jpg,airplane,0.98,"(np.float32(37.151463), np.float32(169.7201))","(np.float32(906.01935), np.float32(494.7662))"
000a017e2b7063a7.jpg,airplane,0.73,"(np.float32(433.82053), np.float32(315.86667))","(np.float32(1005.7127), np.float32(514.8328))"
000f579533500448.jpg,chair,1.0,"(np.float32(3.501268), np.float32(431.06512))","(np.float32(245.36874), np.float32(759.09424))"
000f579533500448.jpg,person,0.99,"(np.float32(638.7735), np.float32(220.36838))","(np.float32(740.8753), np.float32(387.8902))"
000f579533500448.jpg,person,0.99,"(np.float32(656.6782), np.float32(262.45215))","(np.float32(805.0), np.float32(589.6748))"
000f579533500448.jpg,person,0.99,"(np.float32(2.2090013), np.float32(227.8107))","(np.float32(110.991905), np.float32(316.50958))"
000f579533500448.jpg,person,0.98,"(np.float32(88.83759), np.float32(200.33122))","(np.float32(164.4921), np.float32(310.48438))"
000f579533500448.jpg,person,0.98,"(np.float32(335.75342), np.float32(254.51044))","(np.float32(674.363), np.float32(755.18866))"
000f579533500448.jpg,person,0.98,"(np.float32(514.3749), np.float32(198.74431))","(np.float32(631.2426), np.float32(390.71408))"
000f579533500448.jpg,person,0.96,"(np.float32(240.73647), np.float32(219.46754))","(np.float32(378.9913), np.float32(385.41003))"
000f579533500448.jpg,person,0.96,"(np.float32(330.4771), np.float32(208.90392))","(np.float32(397.98843), np.float32(313.18338))"
000f579533500448.jpg,person,0.92,"(np.float32(55.803703), np.float32(259.79916))","(np.float32(325.50156), np.float32(714.23785))"
000f579533500448.jpg,cup,0.92,"(np.float32(553.4073), np.float32(361.9887))","(np.float32(585.7045), np.float32(408.71478))"
000f579533500448.jpg,person,0.92,"(np.float32(447.802), np.float32(189.28775))","(np.float32(511.3787), np.float32(288.715))"
000f579533500448.jpg,chair,0.9,"(np.float32(682.3101), np.float32(490.11264))","(np.float32(804.6061), np.float32(753.7103))"
000f579533500448.jpg,wine glass,0.88,"(np.float32(415.7329), np.float32(331.4248))","(np.float32(440.38718), np.float32(378.47043))"
000f579533500448.jpg,wine glass,0.85,"(np.float32(305.83423), np.float32(358.57578))","(np.float32(337.32468), np.float32(429.9792))"
000f579533500448.jpg,bottle,0.84,"(np.float32(622.78284), np.float32(243.23886))","(np.float32(640.9842), np.float32(298.70108))"
000f579533500448.jpg,chair,0.84,"(np.float32(364.1297), np.float32(299.6589))","(np.float32(428.20224), np.float32(369.68445))"
000f579533500448.jpg,wine glass,0.82,"(np.float32(277.4994), np.float32(363.4316))","(np.float32(303.1122), np.float32(428.03925))"
000f579533500448.jpg,book,0.8,"(np.float32(246.76373), np.float32(429.7951))","(np.float32(345.9895), np.float32(473.55545))"
000f579533500448.jpg,person,0.8,"(np.float32(176.1634), np.float32(207.08722))","(np.float32(257.42084), np.float32(352.84976))"
000f579533500448.jpg,wine glass,0.79,"(np.float32(338.02786), np.float32(357.04944))","(np.float32(367.2527), np.float32(431.01404))"
000f579533500448.jpg,person,0.79,"(np.float32(394.2571), np.float32(212.62917))","(np.float32(459.19495), np.float32(316.9854))"
000f579533500448.jpg,chair,0.72,"(np.float32(339.55606), np.float32(494.14252))","(np.float32(714.3031), np.float32(758.3686))"
000f579533500448.jpg,person,0.7,"(np.float32(670.50757), np.float32(183.62447))","(np.float32(722.0811), np.float32(234.96059))"
